,Are you self-employed?,How many employees does your company or organization have?,Is your employer primarily a tech company/organization?,Is your primary role within your company related to tech/IT?,Does your employer provide mental health benefits as part of healthcare coverage?,Do you know the options for mental health care available under your employer-provided coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health concerns and options for seeking help?,"If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:",Do you think that discussing a mental health disorder with your employer would have negative consequences?,Do you think that discussing a physical health issue with your employer would have negative consequences?,Do you feel that your employer takes mental health as seriously as physical health?,Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?,Do you know local or online resources to seek help for a mental health disorder?,Do you have previous employers?,Were you aware of the options for mental health care provided by your previous employers?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Did your previous employers provide resources to learn more about mental health issues and how to seek help?,Do you think that discussing a mental health disorder with previous employers would have negative consequences?,Do you think that discussing a physical health issue with previous employers would have negative consequences?,Would you have been willing to discuss a mental health issue with your previous co-workers?,Would you have been willing to discuss a mental health issue with your direct supervisor(s),Did you hear of or observe negative consequences for co-workers with mental health issues in your previous workplaces?,Would you bring up a mental health issue with a potential employer in an interview?,How willing would you be to share with friends and family that you have a mental illness?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?,Do you have a family history of mental illness?,Have you had a mental health disorder in the past?,Do you currently have a mental health disorder?,Have you been diagnosed with a mental health condition by a medical professional?,Have you ever sought treatment for a mental health issue from a mental health professional?,What is your age?,Do you work remotely?,Back-end Developer,Front-end Developer,DevOps/SysAdmin,Dev Evangelist/Advocate,Working in America,Living in America,Believed Mental Conditions,Male,Female,Other,Mental Condition
45,0,2,1,1,1,1,0,1,3,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,3,1,1,1,1,1,1,1,33.0,1,1,1,0,0,1,1,0,1,0,0,1
47,0,2,1,1,1,0,0,0,2,0,0,1,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0,45.0,1,1,1,1,0,1,1,1,1,0,0,1
51,0,2,1,1,1,1,0,0,4,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,3,0,0,1,1,1,0,0,27.0,1,1,1,0,0,1,1,0,1,0,0,1
53,0,6,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,2,1,1,1,1,1,1,1,36.0,1,0,0,1,0,1,1,0,1,0,0,1
54,0,5,0,1,1,1,0,0,2,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,2,0,0,0,0,0,1,1,34.0,2,1,0,1,0,1,1,1,1,0,0,1
56,0,3,1,1,1,1,0,1,3,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,3,0,0,1,1,1,1,1,30.0,0,1,1,0,0,1,1,1,1,0,0,1
57,0,4,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,1,1,0,0,32.0,0,0,0,0,0,0,0,1,1,0,0,1
58,0,2,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,40.0,1,1,1,0,0,1,1,1,0,1,0,1
59,0,4,0,1,1,0,0,0,2,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,2,0,0,1,0,0,0,0,40.0,1,1,0,0,0,1,1,0,1,0,0,0
60,0,6,1,1,1,0,1,1,2,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,3,0,0,1,0,0,0,0,41.0,1,1,0,0,0,0,0,1,1,0,0,1
61,0,3,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,3,1,1,0,0,0,1,1,27.0,0,0,0,1,0,0,0,1,1,0,0,1
67,0,6,1,1,1,0,1,1,2,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,3,1,1,1,1,1,1,1,29.0,2,1,0,0,0,1,1,0,1,0,0,1
68,0,4,1,1,1,0,0,0,2,0,0,1,0,0,1,1,0,0,1,1,1,1,1,0,3,0,0,1,1,1,0,0,28.0,0,0,1,0,0,1,1,0,1,0,0,1
69,0,3,0,1,0,1,0,0,4,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,4,0,0,1,1,1,1,1,27.0,1,1,0,0,0,0,0,1,1,0,0,1
72,0,2,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,46.0,1,1,0,0,0,1,1,0,1,0,0,1
73,0,1,1,1,0,0,0,0,4,0,0,1,0,0,1,0,0,0,1,1,1,1,0,1,4,0,0,0,0,0,1,1,40.0,1,1,1,0,0,0,0,0,1,0,0,1
74,0,3,1,1,1,1,0,0,4,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,3,0,0,1,1,1,0,0,37.0,2,1,0,1,0,1,1,1,1,0,0,1
75,0,3,1,1,0,0,0,0,4,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,3,0,0,1,1,1,0,0,41.0,1,1,1,1,0,0,0,0,1,0,0,1
77,0,2,1,1,1,0,0,0,3,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,3,0,0,0,0,0,0,0,38.0,0,0,1,0,0,0,0,0,0,1,0,0
78,0,3,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,33.0,1,0,1,0,0,1,1,0,1,0,0,0
79,0,3,1,1,1,1,0,1,4,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,4,0,0,1,1,1,1,1,33.0,2,1,0,0,1,1,1,0,1,0,0,1
80,0,1,1,1,1,1,0,0,2,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,3,0,0,0,0,0,0,0,21.0,0,1,0,1,0,0,0,0,1,0,0,0
81,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0,0,36.0,0,1,0,0,0,0,0,0,1,0,0,1
83,0,3,1,1,1,0,0,0,3,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,3,0,0,0,0,0,0,0,35.0,1,1,0,0,1,1,1,0,1,0,0,0
85,0,2,1,1,1,0,0,0,2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,45.0,0,1,1,1,0,1,1,1,1,0,0,1
86,0,3,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,3,0,0,0,0,0,0,0,41.0,0,1,0,0,0,0,0,1,1,0,0,1
87,0,3,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,2,1,0,1,1,1,1,1,35.0,1,1,0,0,0,0,0,0,1,0,0,1
89,0,3,1,1,1,0,1,1,4,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,4,0,0,1,1,1,1,1,24.0,1,1,0,0,0,1,1,0,0,1,0,1
90,0,4,0,1,0,0,0,0,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,1,1,0,1,1,33.0,0,0,0,0,0,0,0,0,1,0,0,1
91,0,6,1,1,1,1,0,1,2,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,1,35.0,1,1,0,0,0,1,1,1,1,0,0,1
93,0,2,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,33.6880650994575,2,0,1,0,0,0,0,0,1,0,0,0
94,0,2,0,1,1,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,1,29.0,1,0,1,0,0,1,1,0,0,1,0,1
95,0,4,1,1,1,0,0,0,2,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,3,0,0,1,1,1,1,1,26.0,1,1,0,0,0,1,1,0,1,0,0,1
96,0,3,1,1,1,0,0,0,4,0,0,1,0,0,1,1,1,1,1,0,1,1,1,0,2,1,1,0,0,0,0,0,36.0,2,0,1,0,0,1,1,0,0,1,0,0
97,0,3,1,1,1,0,1,0,2,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,3,0,0,1,0,0,0,0,46.0,1,1,0,1,0,1,1,0,1,0,0,0
99,0,4,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,3,0,0,1,1,1,1,1,28.0,1,1,0,0,0,1,1,0,0,1,0,1
100,0,5,1,1,1,0,0,0,2,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,2,0,0,0,0,0,0,0,40.0,1,0,0,1,0,1,1,0,1,0,0,0
101,0,4,1,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,4,0,0,1,1,1,1,1,23.0,1,1,0,0,0,1,1,0,1,0,0,1
102,0,2,1,1,1,0,0,0,2,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,3,0,0,1,1,1,0,0,30.0,1,1,0,0,0,1,1,0,1,0,0,1
104,0,3,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,3,0,0,1,1,1,0,0,27.0,0,1,0,1,1,0,0,1,1,0,0,1
106,0,3,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,3,0,0,1,1,1,0,1,39.0,0,1,0,0,0,1,1,1,0,1,0,1
108,0,2,1,1,1,1,0,0,4,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,30.0,1,1,1,1,0,1,1,0,1,0,0,1
111,0,3,1,1,1,1,1,1,4,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,3,0,0,1,1,1,1,1,30.0,2,1,0,0,0,1,1,0,1,0,0,1
112,0,6,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,3,0,0,1,1,1,0,0,32.0,1,0,1,0,0,1,1,1,1,0,0,1
115,0,3,0,1,1,1,0,1,2,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,3,0,0,0,0,0,0,0,51.0,1,0,0,0,0,1,1,0,1,0,0,0
116,0,3,0,1,1,0,0,0,2,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,4,0,0,1,1,1,1,1,26.0,1,1,1,0,0,1,1,0,1,0,0,1
117,0,3,1,1,1,1,1,1,3,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,4,1,0,1,1,1,1,1,41.0,1,0,1,0,0,1,1,0,0,1,0,1
118,0,4,1,1,1,0,0,0,2,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,3,0,0,1,1,1,1,1,39.0,1,1,0,0,0,1,1,0,0,1,0,1
119,0,2,1,1,1,0,0,0,2,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,2,0,0,1,1,1,1,1,43.0,1,1,0,1,0,1,1,1,1,0,0,1
120,0,5,1,1,1,0,0,0,2,0,0,1,0,0,1,1,1,1,1,0,1,1,0,1,4,0,0,1,1,1,0,0,30.0,1,1,0,1,1,0,0,1,1,0,0,1
123,0,3,0,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,3,1,1,1,1,1,1,1,28.0,1,1,1,0,0,0,0,0,0,0,1,1
126,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,3,1,0,1,1,1,0,1,36.0,1,0,0,0,0,1,1,1,0,1,0,1
128,0,4,1,1,1,0,0,0,4,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,4,0,0,0,0,0,0,0,34.0,1,0,1,0,0,0,0,0,1,0,0,0
130,0,6,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,3,0,0,1,1,1,1,1,45.0,1,1,0,0,0,1,1,1,1,0,0,1
131,0,2,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,45.0,1,1,1,0,0,1,1,1,1,0,0,1
132,0,5,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,3,1,0,1,1,1,1,1,30.0,1,1,0,0,0,1,1,0,1,0,0,1
133,0,6,0,1,1,0,0,1,2,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,2,1,1,1,1,1,1,1,34.0,1,1,0,0,0,1,1,0,1,0,0,1
134,0,6,1,1,1,0,1,0,2,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,3,0,0,1,1,1,0,0,37.0,1,1,1,0,0,1,1,0,1,0,0,1
135,0,6,0,1,1,0,0,0,2,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,38.0,1,0,0,1,0,1,1,0,1,0,0,0
136,0,3,1,1,1,0,0,0,2,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,1,1,31.0,1,0,1,0,0,1,1,1,1,0,0,1
139,0,4,1,1,1,1,1,1,3,0,0,1,0,0,1,1,0,1,1,1,1,1,1,0,4,1,0,1,1,1,1,1,35.0,1,1,0,0,0,1,1,0,1,0,0,1
140,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,3,1,1,1,1,1,1,1,42.0,2,1,1,1,1,0,0,0,0,0,1,1
141,0,3,1,1,1,0,0,0,2,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,3,1,1,1,0,0,0,0,26.0,1,0,1,0,0,1,1,0,0,1,0,0
142,0,5,1,1,1,0,0,0,2,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,3,0,0,1,1,1,1,1,36.0,2,0,1,0,0,1,1,1,0,1,0,1
143,0,3,1,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1,21.0,0,0,1,0,0,0,0,0,1,0,0,1
146,0,3,1,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,1,1,1,0,3,1,0,0,0,0,1,1,35.0,1,1,1,0,0,1,1,0,1,0,0,1
147,0,2,1,1,1,1,0,0,3,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,4,0,0,0,0,0,0,1,44.0,1,1,0,1,0,1,1,0,1,0,0,0
148,0,2,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,4,1,0,1,1,1,1,0,35.0,1,0,1,0,0,0,0,0,0,0,1,1
150,0,6,0,1,1,1,0,1,4,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,4,0,0,0,0,0,1,1,42.0,1,0,0,0,0,1,1,0,1,0,0,1
153,0,4,1,1,1,0,0,0,2,0,0,1,0,0,1,1,1,1,1,0,1,1,0,0,3,0,0,1,1,1,0,1,36.0,2,1,0,0,0,1,1,1,1,0,0,1
155,0,3,1,1,1,0,1,0,4,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,3,0,0,1,1,0,0,0,29.0,2,1,0,0,0,1,1,0,1,0,0,0
157,0,3,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,2,0,0,1,1,1,1,1,31.0,1,0,0,0,1,1,1,0,1,0,0,1
158,0,6,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,42.0,2,1,1,1,0,0,0,0,1,0,0,0
161,0,6,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,4,0,0,0,0,0,1,1,41.0,0,1,0,0,0,1,1,0,0,1,0,1
164,0,6,1,1,1,1,1,1,2,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,21.0,0,0,0,0,1,1,1,0,1,0,0,0
165,0,6,0,1,1,0,1,0,4,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,37.0,0,0,0,0,0,0,0,0,1,0,0,0
166,0,6,0,1,1,0,0,0,4,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,0,34.0,1,0,1,0,0,0,0,0,0,1,0,0
167,0,6,0,1,1,1,0,1,2,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,40.0,0,1,0,0,0,0,0,1,1,0,0,1
169,0,6,0,1,1,0,1,0,3,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,36.0,1,0,0,0,0,0,0,1,1,0,0,1
170,0,3,1,1,0,0,0,0,3,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,3,1,1,0,0,0,0,0,25.0,0,0,1,0,0,0,0,1,1,0,0,1
171,0,4,1,1,1,0,0,0,2,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,3,0,0,0,0,0,0,0,35.0,2,1,1,0,0,1,1,0,1,0,0,0
172,0,2,1,1,0,0,0,0,2,0,0,1,0,0,1,1,0,1,1,1,1,1,0,0,3,0,0,1,1,0,0,1,37.0,2,1,0,0,0,1,1,0,1,0,0,0
173,0,6,0,1,1,0,0,1,2,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,45.0,1,1,1,0,0,1,1,1,1,0,0,1
174,0,2,1,1,0,0,0,0,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,26.0,0,0,1,0,0,1,1,0,1,0,0,1
175,0,3,1,1,1,0,0,0,3,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,3,0,0,0,0,0,0,0,23.0,1,0,1,0,0,1,1,0,1,0,0,0
176,0,3,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,3,1,0,1,1,1,1,1,22.0,1,0,1,0,0,1,1,0,0,1,0,1
177,0,3,1,1,1,0,0,0,3,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,3,0,0,1,1,1,1,1,46.0,2,1,0,0,0,1,1,0,0,1,0,1
179,0,4,1,1,1,0,0,0,4,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,4,0,0,1,1,1,1,1,27.0,2,1,0,0,1,1,1,0,1,0,0,1
180,0,2,1,1,0,0,0,1,4,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,4,0,0,1,1,0,0,0,37.0,1,1,0,1,0,0,0,0,1,0,0,0
181,0,4,1,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,3,0,0,0,0,0,0,0,37.0,0,0,0,1,0,0,0,0,1,0,0,0
182,0,1,1,1,1,0,1,0,4,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,3,1,1,0,0,0,1,1,26.0,1,1,0,1,0,0,0,1,0,0,1,1
183,0,5,1,1,0,0,0,0,4,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,2,0,0,1,1,1,0,1,23.0,0,1,0,0,0,0,0,0,1,0,0,1
184,0,3,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,3,1,0,1,1,1,1,1,40.0,0,1,1,1,0,1,1,0,1,0,0,1
185,0,1,1,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,3,0,0,0,0,0,0,0,29.0,1,1,0,1,0,0,0,0,1,0,0,0
186,0,4,1,1,1,1,1,1,3,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,3,0,0,1,1,1,1,1,37.0,1,1,1,0,1,1,1,0,1,0,0,1
188,0,6,1,1,1,0,0,0,4,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,4,0,0,0,0,0,1,1,40.0,1,1,0,0,0,1,1,0,1,0,0,1
