,Are you self-employed?,How many employees does your company or organization have?,Is your primary role within your company related to tech/IT?,Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?,Do you know local or online resources to seek help for a mental health disorder?,Do you have previous employers?,Were you aware of the options for mental health care provided by your previous employers?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Did your previous employers provide resources to learn more about mental health issues and how to seek help?,Do you think that discussing a mental health disorder with previous employers would have negative consequences?,Do you think that discussing a physical health issue with previous employers would have negative consequences?,Would you have been willing to discuss a mental health issue with your previous co-workers?,Would you have been willing to discuss a mental health issue with your direct supervisor(s),Did you hear of or observe negative consequences for co-workers with mental health issues in your previous workplaces?,Would you bring up a mental health issue with a potential employer in an interview?,How willing would you be to share with friends and family that you have a mental illness?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?,Do you have a family history of mental illness?,Have you had a mental health disorder in the past?,Do you currently have a mental health disorder?,Have you been diagnosed with a mental health condition by a medical professional?,Have you ever sought treatment for a mental health issue from a mental health professional?,What is your age?,Do you work remotely?,Back-end Developer,Front-end Developer,DevOps/SysAdmin,Dev Evangelist/Advocate,Working in America,Living in America,Believed Mental Conditions,Male,Female,Other,Mental Condition
151,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,3,1,0,1,1,1,1,0,40.0,2,1,0,1,0,1,1,0,1,0,0,1
154,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,4,0,0,1,1,1,1,1,31.0,2,1,0,0,0,1,1,0,0,1,0,1
168,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,3,0,0,1,1,1,0,0,25.0,2,1,0,0,0,0,0,1,1,0,0,1
191,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,3,0,0,0,0,0,0,0,28.0,1,1,0,0,0,0,0,1,1,0,0,1
197,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,1,38.0,2,0,0,0,1,0,0,0,1,0,0,1
236,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,2,0,0,1,0,0,0,0,34.0,1,1,1,0,0,0,0,1,1,0,0,1
238,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,29.0,1,1,1,1,0,1,1,1,1,0,0,1
242,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,2,1,1,1,1,1,1,1,35.0,2,1,0,0,0,0,0,0,0,1,0,1
244,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,33.0,1,1,0,0,0,0,0,0,1,0,0,0
254,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,3,1,1,1,1,1,1,1,29.0,2,1,1,1,0,1,1,0,1,0,0,1
274,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,4,1,1,1,1,1,0,0,44.0,0,1,1,0,0,0,0,1,1,0,0,1
278,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,4,1,1,1,1,1,0,1,49.0,1,1,0,0,0,1,1,1,1,0,0,1
283,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,3,0,0,1,1,1,0,0,41.0,2,1,1,0,0,0,0,0,1,0,0,1
296,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,34.0,1,1,1,0,0,0,0,0,1,0,0,1
304,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,4,1,1,1,1,1,1,1,57.0,2,1,0,0,0,0,0,0,0,1,0,1
308,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,2,1,0,0,0,0,1,1,63.0,2,1,1,1,0,1,0,0,1,0,0,1
311,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,4,1,0,1,1,1,1,1,35.0,1,0,0,1,0,0,0,0,1,0,0,1
315,1,1,1,0,1,1,0,0,0,1,1,1,0,1,0,3,0,0,1,1,1,1,1,35.0,2,1,0,0,0,1,1,0,0,1,0,1
330,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,4,1,0,0,0,0,1,1,37.0,1,1,0,0,0,0,0,0,1,0,0,1
337,1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,29.0,1,1,0,0,0,0,0,1,1,0,0,1
340,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,25.0,1,1,1,0,0,1,1,0,1,0,0,0
353,1,1,1,0,1,1,0,0,0,1,0,1,1,0,1,3,0,0,0,0,0,0,0,39.0,1,1,1,1,0,0,0,1,1,0,0,1
354,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,36.0,1,1,1,0,0,1,1,0,1,0,0,1
373,1,1,1,0,1,1,0,0,1,0,0,1,1,1,0,2,0,0,0,0,0,1,1,29.0,2,1,0,0,0,0,0,1,1,0,0,1
374,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1,1,34.0,1,1,1,1,1,0,0,0,1,0,0,1
395,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,3,0,0,0,0,0,0,0,33.0,1,0,1,0,0,0,0,0,1,0,0,0
403,1,1,1,0,1,1,1,0,0,1,0,1,0,1,0,2,0,0,1,1,1,1,1,31.0,2,1,1,0,1,1,1,0,0,1,0,1
413,1,1,1,0,0,1,0,0,0,0,1,1,1,1,0,4,0,0,0,0,0,1,1,32.0,2,1,0,1,0,0,0,0,1,0,0,1
417,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,3,0,0,1,1,1,1,1,27.0,0,1,0,1,0,0,0,0,0,1,0,1
433,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,0,27.0,1,0,0,1,0,1,1,0,1,0,0,0
442,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,4,0,0,1,1,1,1,1,38.0,1,1,0,0,0,1,1,0,1,0,0,1
443,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,2,0,0,1,1,1,1,1,55.0,2,1,0,0,0,1,1,1,1,0,0,1
444,1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,2,1,1,1,1,1,0,1,28.0,1,1,0,0,0,0,0,1,1,0,0,1
468,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,4,1,1,1,1,1,1,1,27.0,2,1,0,1,1,0,0,0,1,0,0,1
482,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,4,0,0,1,1,1,0,0,43.0,2,1,1,0,0,1,1,0,1,0,0,1
485,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,3,0,0,1,1,1,1,0,50.0,2,1,0,0,0,1,1,0,1,0,0,1
486,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,38.0,1,1,0,1,1,0,0,0,1,0,0,1
498,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,2,1,1,1,1,1,0,0,33.0,1,1,1,1,0,0,0,1,1,0,0,1
511,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,2,0,0,1,0,0,0,0,28.0,1,0,0,0,1,1,1,0,1,0,0,0
516,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,0,0,0,0,29.0,2,1,0,0,0,0,0,0,1,0,0,0
519,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,3,1,1,1,1,1,1,1,61.0,1,1,1,0,0,1,1,0,0,1,0,1
522,1,1,1,0,1,1,0,0,0,1,1,0,0,1,0,2,1,0,0,0,0,0,0,37.0,2,1,0,1,1,1,1,0,1,0,0,0
524,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0,4,0,0,0,0,0,0,0,28.0,2,1,0,0,0,0,0,0,1,0,0,0
531,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0,4,0,0,0,0,0,1,1,35.0,1,1,1,0,0,0,0,0,1,0,0,1
534,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,4,0,0,0,0,0,1,1,39.0,2,1,1,1,0,0,0,0,1,0,0,1
539,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,3,1,1,1,1,1,0,0,34.0,1,1,0,1,0,0,0,1,1,0,0,1
541,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,3,1,1,1,1,1,0,0,30.0,1,1,1,1,0,1,1,1,1,0,0,1
563,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,3,0,0,1,1,1,0,0,30.0,2,1,1,1,0,0,0,0,1,0,0,1
575,1,1,1,0,0,1,0,1,1,1,0,1,1,0,0,3,0,0,1,1,0,0,1,44.0,1,1,0,0,0,0,0,0,1,0,0,0
596,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,3,0,0,1,1,1,1,1,48.0,2,0,1,0,0,1,1,0,0,1,0,1
597,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,2,1,0,1,1,1,1,1,40.0,1,0,1,0,0,1,0,0,1,0,0,1
602,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,2,0,0,1,1,1,1,1,28.0,1,1,1,1,0,0,0,0,1,0,0,1
607,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,3,0,0,0,0,0,1,1,33.0,2,1,1,0,0,1,1,1,1,0,0,1
614,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,3,1,0,0,0,0,0,0,54.0,2,1,0,0,0,0,0,1,1,0,0,1
619,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,34.0,2,1,0,0,0,1,1,0,1,0,0,0
631,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,3,1,1,1,1,1,1,1,34.0,1,0,1,0,0,0,0,0,1,0,0,1
639,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,55.0,1,1,0,0,0,1,1,1,1,0,0,1
646,1,1,1,0,1,1,0,0,0,1,1,1,0,1,0,3,1,0,0,0,0,1,1,46.0,1,1,1,1,0,0,0,1,1,0,0,1
651,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0,3,0,0,0,0,0,0,0,46.0,1,1,1,1,0,0,0,0,1,0,0,0
662,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,4,1,1,1,1,1,1,1,26.0,2,0,1,0,0,0,0,0,0,1,0,1
668,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,3,1,1,1,1,1,0,1,33.0,1,0,1,0,0,1,1,1,0,1,0,1
711,1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,3,0,0,1,0,0,0,0,43.0,1,1,1,0,0,0,0,0,1,0,0,0
712,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,4,0,0,0,0,0,1,1,55.0,2,0,1,0,0,0,0,0,0,1,0,1
716,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,46.0,1,1,1,0,0,1,1,0,1,0,0,1
719,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,3,0,0,1,1,0,0,0,42.0,2,1,0,0,0,1,1,0,1,0,0,0
727,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,2,0,0,1,1,1,0,0,37.0,1,0,0,1,0,0,0,0,1,0,0,1
728,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,4,0,0,0,0,0,1,1,42.0,2,1,1,0,0,0,0,0,1,0,0,1
734,1,1,1,0,1,1,1,0,0,1,1,0,1,1,0,3,0,0,1,1,1,1,1,31.0,1,1,0,0,0,1,1,0,0,1,0,1
736,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,3,1,0,1,1,1,1,1,19.0,1,0,1,1,1,1,1,1,1,0,0,1
743,1,1,1,0,1,1,1,0,0,1,0,1,1,0,0,4,0,0,1,1,1,0,1,29.0,2,0,1,0,0,1,1,0,0,1,0,1
746,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,3,0,0,0,0,0,1,1,45.0,0,1,1,0,0,0,0,0,1,0,0,1
747,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,0,0,35.0,2,1,1,0,1,0,0,1,1,0,0,1
748,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,32.0,2,1,0,0,0,0,0,1,1,0,0,1
751,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,3,1,0,0,0,0,0,1,39.0,1,0,0,1,0,0,0,1,1,0,0,1
753,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,33.0,1,1,0,1,0,1,1,0,0,1,0,1
764,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0,3,0,0,1,1,1,1,1,44.0,2,1,1,1,0,0,0,0,1,0,0,1
766,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,2,0,0,1,0,0,0,0,32.0,2,1,1,1,0,0,0,0,1,0,0,0
774,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,3,0,0,1,1,1,0,1,56.0,2,1,1,0,0,1,1,1,0,1,0,1
784,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,3,1,1,0,0,0,1,1,45.0,1,1,0,1,0,0,0,1,1,0,0,1
786,1,1,1,0,1,1,0,0,1,1,0,1,1,1,0,2,0,0,0,0,0,0,0,32.0,2,1,0,1,0,1,1,0,0,1,0,0
788,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,3,0,0,0,0,0,0,0,44.0,1,1,1,1,0,1,1,0,1,0,0,0
797,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,2,0,0,1,1,1,0,0,42.0,2,1,1,1,0,1,0,1,0,0,1,1
820,1,1,1,0,1,1,0,0,0,1,1,1,0,1,0,3,0,0,0,0,0,1,1,35.0,2,1,1,0,0,0,0,0,1,0,0,1
828,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,25.0,2,1,1,1,0,0,0,0,0,1,0,0
839,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,2,0,0,1,1,1,0,1,32.0,2,1,1,1,0,1,1,0,1,0,0,1
840,1,1,1,0,1,1,1,0,0,1,0,1,1,0,0,4,1,0,1,1,1,1,1,25.0,1,1,1,0,0,0,0,1,1,0,0,1
843,1,1,1,0,0,1,0,0,0,1,1,1,0,1,0,4,1,1,1,1,1,1,0,35.0,2,1,1,0,0,1,1,0,1,0,0,1
850,1,1,1,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,37.0,1,1,1,0,0,1,1,0,1,0,0,0
867,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,3,0,0,1,1,1,1,1,31.0,2,0,1,0,0,1,1,0,1,0,0,1
877,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,3,0,0,1,1,1,0,0,50.0,1,0,0,1,0,0,0,0,1,0,0,1
879,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,2,1,0,0,0,0,0,0,50.0,1,1,1,1,0,0,0,1,1,0,0,1
885,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,3,0,0,0,0,0,1,1,65.0,1,1,1,0,0,1,1,0,0,1,0,1
886,1,1,1,0,0,1,1,0,0,0,0,1,1,0,1,4,0,0,1,1,1,1,1,37.0,2,1,0,1,1,1,1,1,1,0,0,1
891,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,2,0,0,0,0,0,0,1,37.0,2,1,1,1,0,0,0,0,1,0,0,0
894,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,4,0,0,1,1,1,1,1,31.0,1,1,1,0,0,0,0,0,1,0,0,1
899,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,2,0,0,1,0,0,0,0,29.0,2,1,0,1,0,1,1,0,1,0,0,0
902,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,4,1,0,1,1,1,1,1,43.0,2,0,0,1,0,0,0,0,1,0,0,1
907,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,3,0,0,0,0,0,0,0,43.0,2,0,1,0,0,1,1,1,0,1,0,1
909,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,2,1,0,0,0,0,0,0,46.0,2,1,1,1,0,0,0,0,1,0,0,0
914,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0,3,0,0,0,0,0,0,1,30.0,2,0,1,0,0,1,1,1,0,1,0,1
918,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,3,1,1,1,1,1,1,1,39.0,2,0,1,0,0,0,0,1,0,1,0,1
920,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,4,0,0,1,1,1,1,1,28.0,2,0,1,0,0,0,0,0,1,0,0,1
921,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,3,1,0,0,0,0,0,0,30.0,1,1,0,0,0,0,0,0,1,0,0,0
927,1,1,1,0,1,1,0,0,0,1,1,1,0,1,0,3,0,0,1,0,0,0,1,32.0,2,0,1,0,0,0,0,0,0,1,0,0
940,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,4,0,0,1,1,1,0,0,29.0,1,1,1,0,0,0,0,1,1,0,0,1
946,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,3,0,0,1,1,0,1,1,36.0,1,1,1,0,0,0,0,0,1,0,0,1
949,1,1,1,0,1,1,1,0,0,1,0,1,1,0,0,4,0,0,0,0,0,1,1,39.0,2,1,0,0,0,1,1,0,1,0,0,1
952,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0,3,0,0,1,1,1,1,1,32.0,2,0,0,1,0,1,1,1,1,0,0,1
962,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,3,0,0,1,1,1,1,1,44.0,2,1,1,1,0,1,1,0,0,1,0,1
983,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,1,1,35.0,2,1,0,0,0,1,1,1,1,0,0,1
986,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,2,0,0,1,1,1,0,0,40.0,1,0,0,1,0,1,1,1,1,0,0,1
989,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,4,0,0,1,1,1,1,1,20.0,1,1,0,0,0,1,1,0,1,0,0,1
1000,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,3,1,0,0,0,0,1,1,27.0,2,1,0,0,1,0,0,0,1,0,0,1
1010,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,3,0,0,1,1,1,1,1,37.0,1,0,1,0,0,1,1,1,1,0,0,1
1027,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,4,0,0,1,1,1,0,0,26.0,2,0,0,1,1,1,0,0,1,0,0,1
1028,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,3,0,0,1,1,1,0,1,36.0,0,1,1,1,0,0,0,0,1,0,0,1
1038,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,3,0,0,0,0,0,0,0,47.0,2,0,1,0,0,0,0,0,1,0,0,0
1058,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1,27.0,1,1,0,0,0,0,0,0,1,0,0,1
1060,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,2,1,0,0,0,0,0,0,35.0,1,1,1,1,0,0,0,1,1,0,0,1
1076,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,3,1,1,1,1,1,1,1,31.0,2,1,1,0,0,0,0,1,1,0,0,1
1078,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,3,1,1,1,1,1,0,1,24.0,1,0,0,1,0,1,1,1,1,0,0,1
1084,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,3,1,0,1,1,1,1,1,28.0,2,1,0,0,0,0,0,0,1,0,0,1
1086,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,3,0,0,1,1,1,0,1,49.0,2,0,1,0,0,1,1,1,1,0,0,1
1088,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,3,0,0,0,0,0,1,1,43.0,1,0,1,0,0,1,1,0,1,0,0,1
1093,1,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,0,21.0,1,1,1,0,0,1,1,1,1,0,0,1
1104,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,3,0,0,0,0,0,0,0,31.0,1,0,1,0,0,1,1,0,1,0,0,0
1107,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,30.0,2,0,1,1,0,1,1,0,0,1,0,1
1108,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,2,0,0,1,0,0,0,1,34.0,2,1,1,1,0,0,0,0,1,0,0,0
1140,1,1,1,0,1,1,1,1,0,1,0,1,1,1,0,4,1,1,1,1,1,1,1,26.0,2,1,1,0,0,1,1,0,1,0,0,1
1172,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,2,0,0,0,0,0,1,0,35.0,1,1,0,0,0,0,0,0,1,0,0,1
1173,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,2,1,1,0,0,0,1,1,32.0,2,1,0,0,0,1,1,0,1,0,0,1
1195,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1,27.0,1,1,0,0,0,1,1,0,0,1,0,1
1210,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,2,1,0,1,0,0,0,0,34.0,1,1,0,0,0,0,0,0,1,0,0,0
1214,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,1,1,0,0,37.0,2,1,1,0,0,0,0,1,0,1,0,1
1215,1,1,1,0,1,1,0,0,0,1,1,1,0,1,0,3,0,0,1,1,1,1,1,49.0,2,1,1,0,0,1,1,0,0,1,0,1
1247,1,1,1,0,1,1,1,0,0,1,0,1,1,0,0,4,0,0,1,1,1,1,1,34.0,2,0,1,0,0,1,1,0,1,0,0,1
1248,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,49.0,2,1,1,0,0,1,1,0,0,1,0,1
1254,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,3,0,0,1,1,1,0,0,45.0,1,1,1,0,0,0,0,0,1,0,0,1
1256,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,3,1,1,1,1,1,1,1,38.0,1,1,0,0,0,1,1,0,1,0,0,1
1261,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,4,0,0,1,1,1,1,1,24.0,1,1,1,0,0,0,0,0,1,0,0,1
1277,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,30.0,1,0,0,0,1,0,0,0,0,1,0,1
1281,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,35.0,2,1,0,0,0,0,0,1,1,0,0,1
1288,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,1,34.0,1,1,1,1,0,0,0,0,1,0,0,1
1299,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,4,1,1,1,1,1,1,1,26.0,2,0,1,0,0,0,0,1,1,0,0,1
