,Are you self-employed?,How many employees does your company or organization have?,Is your employer primarily a tech company/organization?,Is your primary role within your company related to tech/IT?,Does your employer provide mental health benefits as part of healthcare coverage?,Do you know the options for mental health care available under your employer-provided coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health concerns and options for seeking help?,"If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:",Do you think that discussing a mental health disorder with your employer would have negative consequences?,Do you think that discussing a physical health issue with your employer would have negative consequences?,Do you feel that your employer takes mental health as seriously as physical health?,Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?,Do you know local or online resources to seek help for a mental health disorder?,Do you have previous employers?,Were you aware of the options for mental health care provided by your previous employers?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Did your previous employers provide resources to learn more about mental health issues and how to seek help?,Do you think that discussing a mental health disorder with previous employers would have negative consequences?,Do you think that discussing a physical health issue with previous employers would have negative consequences?,Would you have been willing to discuss a mental health issue with your previous co-workers?,Would you have been willing to discuss a mental health issue with your direct supervisor(s),Did you hear of or observe negative consequences for co-workers with mental health issues in your previous workplaces?,Would you bring up a mental health issue with a potential employer in an interview?,How willing would you be to share with friends and family that you have a mental illness?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?,Do you have a family history of mental illness?,Have you had a mental health disorder in the past?,Do you currently have a mental health disorder?,Have you been diagnosed with a mental health condition by a medical professional?,Have you ever sought treatment for a mental health issue from a mental health professional?,What is your age?,Do you work remotely?,Back-end Developer,Front-end Developer,DevOps/SysAdmin,Dev Evangelist/Advocate,Working in America,Living in America,Believed Mental Conditions,Male,Female,Other,Mental Condition
465,0,3,1,1,1,0,0,0,2,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,28.0,1,1,0,0,0,1,1,0,1,0,0,0
472,0,2,1,1,1,0,0,0,3,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,35.0,1,1,1,1,0,1,1,0,1,0,0,0
475,0,6,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,27.0,0,0,1,0,0,1,1,0,0,1,0,0
479,0,4,1,1,1,0,0,0,2,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,28.0,0,1,0,0,0,0,0,0,1,0,0,0
480,0,2,1,1,1,0,0,0,2,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,28.0,1,0,1,0,0,1,1,0,1,0,0,0
494,0,3,1,1,1,1,0,0,4,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,3,0,0,0,0,0,0,0,50.0,2,1,0,0,0,1,1,0,1,0,0,0
497,0,5,0,1,1,0,0,0,4,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,4,0,0,1,0,0,0,0,36.0,1,1,1,1,0,0,0,0,1,0,0,0
506,0,3,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,2,0,0,0,0,0,0,0,34.0,1,1,1,1,0,1,1,0,1,0,0,0
517,0,6,0,1,0,0,1,1,3,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,2,0,0,0,0,0,0,0,23.0,0,0,0,0,0,0,0,0,1,0,0,0
525,0,3,1,1,1,0,0,0,3,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,1,30.0,1,1,1,1,0,0,0,0,1,0,0,0
528,0,2,1,1,1,0,0,0,3,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,3,0,0,1,0,0,0,0,20.0,1,1,1,0,0,0,0,0,1,0,0,0
538,0,3,1,1,1,0,0,0,3,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,32.0,1,0,0,1,0,0,0,0,1,0,0,0
543,0,3,1,1,1,0,0,0,2,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,3,0,0,1,0,0,0,0,26.0,1,1,0,1,0,0,0,0,1,0,0,0
549,0,4,1,1,1,0,0,1,4,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,34.0,1,1,0,0,0,1,1,0,1,0,0,0
551,0,4,1,1,1,0,0,0,4,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,3,1,0,0,0,0,0,0,32.0,2,1,0,0,0,1,1,0,1,0,0,0
557,0,1,1,1,1,0,0,0,4,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,3,0,0,0,0,0,0,0,22.0,0,1,0,1,1,0,0,0,1,0,0,0
559,0,6,0,1,1,0,0,0,2,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,19.0,0,0,1,0,0,1,1,0,0,1,0,0
560,0,2,1,1,0,0,0,0,4,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0,30.0,1,1,1,0,0,0,0,0,1,0,0,0
562,0,6,1,1,1,0,0,0,3,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,22.0,1,0,1,0,0,1,1,0,1,0,0,0
565,0,2,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,3,0,0,0,0,0,0,0,33.0,1,1,0,0,0,0,0,0,1,0,0,0
570,0,2,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,3,0,0,0,0,0,0,0,31.0,1,1,1,0,0,1,1,0,1,0,0,0
572,0,6,1,1,1,0,1,0,4,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,29.0,0,0,0,1,0,1,1,0,1,0,0,0
573,0,6,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,3,0,0,0,0,0,0,0,26.0,0,1,1,0,1,1,1,0,1,0,0,0
599,0,3,0,1,1,1,1,1,2,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,2,0,0,1,0,0,0,1,33.0,0,1,0,0,0,0,0,0,1,0,0,0
601,0,3,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,2,0,0,0,0,0,0,0,24.0,1,0,0,0,0,0,0,0,1,0,0,0
604,0,3,1,1,0,0,0,0,2,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,28.0,1,1,1,1,0,0,0,0,1,0,0,0
621,0,6,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,3,0,0,0,0,0,0,0,27.0,1,1,1,0,0,1,1,0,1,0,0,0
627,0,2,1,1,1,0,0,0,3,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,29.0,0,1,0,0,0,0,0,0,1,0,0,0
634,0,2,1,1,1,1,0,0,4,0,0,1,0,0,1,1,1,1,1,0,1,1,0,0,3,0,0,0,0,0,0,0,22.0,1,1,0,0,0,1,1,0,1,0,0,0
640,0,2,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,3,0,0,0,0,0,0,1,27.0,0,1,0,1,0,0,0,0,1,0,0,0
641,0,2,1,1,1,0,0,0,3,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,34.0,2,1,0,0,0,0,0,0,1,0,0,0
649,0,3,1,1,1,0,0,0,2,0,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,58.0,1,1,0,0,0,1,1,0,1,0,0,0
657,0,5,0,1,1,0,1,1,2,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,3,1,1,0,0,0,0,0,34.0,1,0,0,0,0,1,1,0,1,0,0,0
658,0,3,1,1,1,0,1,0,4,0,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,25.0,1,1,0,0,0,1,1,0,0,1,0,0
670,0,3,1,1,1,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,3,1,1,0,0,0,0,1,24.0,0,0,1,0,0,0,0,0,0,1,0,0
672,0,3,1,1,1,0,0,1,3,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,3,0,0,0,0,0,0,0,37.0,1,1,0,1,0,1,1,0,1,0,0,0
675,0,6,0,1,1,0,1,1,3,0,0,1,0,0,1,1,1,1,1,0,1,1,1,0,3,1,1,0,0,0,0,0,42.0,0,1,1,0,1,1,1,0,1,0,0,0
684,0,3,0,1,1,1,0,1,3,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,36.0,1,0,0,0,0,0,0,0,1,0,0,0
687,0,3,0,1,1,0,1,1,2,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,34.0,0,0,0,0,0,1,1,0,0,1,0,0
688,0,2,1,1,1,0,0,0,4,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,4,0,0,0,0,0,0,0,36.0,0,1,0,1,0,0,0,0,1,0,0,0
703,0,3,1,1,1,0,0,0,2,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,2,1,0,1,0,0,0,0,22.0,0,1,1,1,0,0,0,0,1,0,0,0
704,0,3,1,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,29.0,1,0,1,0,0,0,0,0,1,0,0,0
706,0,2,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,27.0,0,1,1,1,0,0,0,0,1,0,0,0
709,0,2,0,1,1,0,0,0,2,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,32.0,2,0,1,0,0,1,1,0,1,0,0,0
710,0,5,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,59.0,0,0,0,0,0,1,1,0,0,1,0,0
714,0,6,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,41.0,0,0,1,0,0,0,0,0,1,0,0,0
720,0,4,1,1,1,0,1,0,4,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,0,25.0,0,1,1,0,0,1,1,0,0,1,0,0
738,0,6,0,1,1,0,0,1,3,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,4,1,0,1,1,0,0,0,31.0,1,1,0,0,0,0,0,0,1,0,0,0
